,0
2312,319.38257
2313,300.75424
2314,237.18027
2315,246.89166
2316,283.95804
2317,294.21088
2318,310.1731
2319,313.18045
2320,274.34308
2321,272.21097
2322,175.5517
2323,117.046455
2324,85.58005
2325,70.372
2326,38.575367
2327,38.054985
2328,55.323418
2329,96.79406
2330,195.06049
2331,271.37668
2332,300.5855
2333,322.98917
2334,351.0885
2335,293.90863
2336,281.8163
2337,256.5506
2338,255.84258
2339,243.47527
2340,233.28876
2341,292.87122
2342,283.16974
2343,260.3855
2344,272.36224
2345,215.12544
2346,195.40112
2347,126.18039
2348,58.918556
2349,37.956512
2350,28.807247
2351,25.033796
2352,30.020475
2353,50.10464
2354,98.80327
2355,112.37956
2356,136.23419
2357,140.76532
2358,127.33413
2359,130.33275
2360,108.88553
2361,99.245514
2362,130.68533
2363,128.38065
2364,141.21207
2365,146.66734
2366,124.15241
2367,118.46603
2368,113.07609
2369,111.40538
2370,72.04518
2371,77.75694
2372,81.05304
2373,42.582764
2374,25.983576
2375,33.595577
2376,46.400833
2377,140.1254
2378,401.75052
2379,361.24503
2380,262.98666
2381,282.89426
2382,228.06851
2383,222.63019
2384,219.3437
2385,241.5909
2386,235.62642
2387,244.93845
2388,220.0179
2389,181.82437
2390,315.6177
2391,362.38174
2392,290.94446
2393,236.78775
2394,177.69853
2395,103.889275
2396,50.461357
2397,67.68716
2398,43.83024
2399,35.160355
2400,53.89761
2401,147.5974
2402,395.90244
2403,434.46118
2404,320.1415
2405,285.04477
2406,261.97327
2407,211.7827
2408,223.27634
2409,243.54207
2410,221.33894
2411,212.5024
2412,200.75606
2413,307.01187
2414,335.95605
2415,314.85593
2416,298.26758
2417,229.16687
2418,162.38474
2419,121.50519
2420,73.028015
2421,49.31323
2422,28.960571
2423,37.60914
2424,64.37669
2425,120.951965
2426,357.7165
2427,426.56357
2428,343.3564
2429,300.5066
2430,241.30249
2431,271.08835
2432,250.3677
2433,259.4498
2434,268.7973
2435,238.68417
2436,286.40445
2437,261.55533
2438,323.46997
2439,319.6534
2440,282.64023
2441,225.57236
2442,180.94531
2443,120.84044
2444,73.308235
2445,57.29939
2446,38.809223
2447,31.194574
2448,56.92894
2449,125.6396
2450,384.56836
2451,447.63617
2452,316.7368
2453,305.70212
2454,284.70242
2455,269.07114
2456,263.4003
2457,285.04605
2458,256.1969
2459,231.63629
2460,272.83395
2461,304.10626
2462,298.63144
2463,281.1031
2464,324.72467
2465,243.20149
2466,160.71054
2467,98.11177
2468,75.91387
2469,45.849014
2470,41.493637
2471,44.218838
2472,57.80087
2473,105.03305
2474,311.35138
2475,387.5137
2476,335.66077
2477,268.95935
2478,287.86298
2479,323.15625
2480,295.0473
2481,291.51978
2482,301.1485
2483,266.91306
2484,254.60071
2485,313.5997
2486,307.94476
2487,370.902
2488,329.47833
2489,256.27652
2490,201.60262
2491,136.3547
2492,81.37695
2493,69.13266
2494,41.136192
2495,33.71272
2496,43.504246
2497,94.83759
2498,215.89592
2499,331.184
2500,296.10123
2501,300.4234
2502,289.3958
2503,280.21573
2504,266.0438
2505,250.87119
2506,239.71222
2507,248.99374
2508,250.10803
2509,251.20992
2510,290.1161
2511,287.5186
2512,266.4681
2513,235.26152
2514,139.11543
2515,116.49048
2516,87.52327
2517,59.949436
2518,36.580547
2519,28.980783
2520,40.112595
2521,73.60923
2522,151.9251
2523,270.03787
2524,258.79605
2525,239.37585
2526,232.80019
2527,217.02792
2528,225.4694
2529,228.06566
2530,214.19334
2531,212.50519
2532,206.3589
2533,214.64001
2534,234.85736
2535,232.49884
2536,215.6846
2537,185.61691
2538,158.77263
2539,125.001335
2540,79.577
2541,59.748974
2542,41.361736
2543,34.171604
2544,56.577465
2545,121.93306
2546,322.256
2547,283.50296
2548,296.9434
2549,257.65906
2550,252.42131
2551,243.00986
2552,250.72362
2553,256.81775
2554,238.91689
2555,210.56152
2556,240.14117
2557,311.18094
2558,279.04254
2559,271.0438
2560,256.20636
2561,191.22499
2562,142.81404
2563,126.034065
2564,96.58072
2565,57.999325
2566,37.764645
2567,34.29207
2568,61.89633
2569,120.07414
2570,312.99118
2571,293.70337
2572,289.32953
2573,257.3359
2574,250.68509
2575,248.39143
2576,244.55348
2577,240.71748
2578,228.54088
2579,222.61049
2580,254.23157
2581,264.08353
2582,272.45135
2583,272.45737
2584,249.28348
2585,190.20657
2586,144.78134
2587,119.5057
2588,89.14428
2589,57.908188
2590,39.832233
2591,36.445965
2592,50.085705
2593,120.90585
2594,322.62823
2595,307.9005
2596,296.8772
2597,266.72922
2598,269.17023
2599,242.1026
2600,255.36006
2601,262.62704
2602,234.01958
2603,228.47913
2604,233.20543
2605,269.3652
2606,273.6449
2607,263.99457
2608,248.98543
2609,201.74254
2610,143.15515
2611,121.51482
2612,89.961555
2613,57.65296
2614,38.42682
2615,39.76037
2616,52.798344
2617,118.8226
2618,302.69385
2619,306.16214
2620,296.65485
2621,266.1178
2622,266.96616
2623,257.3285
2624,252.16426
2625,242.91833
2626,233.98076
2627,235.89044
2628,225.95735
2629,255.03181
2630,274.7251
2631,288.41837
2632,247.71567
2633,186.61006
2634,145.80717
2635,120.79045
2636,88.84287
2637,65.90419
2638,40.43851
2639,35.64139
2640,42.528465
2641,105.19074
2642,311.38058
2643,315.32782
2644,283.85745
2645,282.63513
2646,284.49512
2647,262.7114
2648,264.0843
2649,254.76314
2650,235.25764
2651,241.46848
2652,241.18591
2653,261.95105
2654,294.12515
2655,274.94162
2656,255.91216
2657,211.38853
2658,144.70132
2659,120.61111
2660,90.68876
2661,59.93267
2662,40.01641
2663,36.16303
2664,49.44687
2665,98.62835
2666,236.57158
2667,281.66528
2668,285.90182
2669,272.47214
2670,258.3825
2671,248.34485
2672,246.39456
2673,242.18098
2674,230.00746
2675,223.29279
2676,234.30598
2677,252.10582
2678,261.91986
2679,254.36314
2680,226.0243
2681,188.07364
2682,151.88763
2683,121.95743
2684,88.390274
2685,59.93267
2686,40.01641
2687,36.16303
2688,49.44687
2689,98.62835
2690,236.57158
2691,281.66528
2692,285.90182
2693,272.47214
2694,258.3825
2695,248.34485
2696,246.39456
2697,242.18098
2698,230.00746
2699,223.29279
2700,234.30598
2701,252.10582
2702,261.91986
2703,254.36314
2704,226.0243
2705,188.07364
2706,151.88763
2707,121.95743
2708,88.390274
2709,59.93267
2710,40.01641
2711,36.16303
2712,49.44687
2713,98.62835
2714,236.57158
2715,281.66528
2716,285.90182
2717,272.47214
2718,258.3825
2719,248.34485
2720,246.39456
2721,242.18098
2722,230.00746
2723,223.29279
2724,234.30598
2725,252.10582
2726,261.91986
2727,254.36314
2728,226.0243
2729,188.07364
2730,151.88763
2731,121.95743
2732,88.390274
2733,59.93267
2734,40.01641
2735,36.16303
2736,49.44687
2737,98.62835
2738,236.57158
2739,281.66528
2740,285.90182
2741,272.47214
2742,258.3825
2743,248.34485
2744,246.39456
2745,242.18098
2746,230.00746
2747,223.29279
2748,234.30598
2749,252.10582
2750,261.91986
2751,254.36314
2752,226.0243
2753,188.07364
2754,151.88763
2755,121.95743
2756,88.390274
2757,59.93267
2758,40.01641
2759,36.16303
2760,49.44687
2761,98.62835
2762,236.57158
2763,281.66528
2764,285.90182
2765,272.47214
2766,258.3825
2767,248.34485
2768,246.39456
2769,242.18098
2770,230.00746
2771,223.29279
2772,234.30598
